,id,module,supermodule,dim_1,dim_2
3513,TNFRSF1A,7,1,2.44155880448387,-1.75309719949814
3514,LTBR,26,1,0.66027433064745,1.86638698667435
3515,TAPBPL,2,1,-0.061314042536754,2.85219059080033
3516,MRPL51,4,1,-1.9355069956465,-5.37684168726059
3517,GAPDH,4,1,-1.90735262247755,-5.29875340372177
3518,CHD4,23,1,1.3327865043001,-1.44904872089477
3519,LPAR5,13,1,1.54178375390337,-0.321112417279203
3520,CD4,30,1,1.99754897144602,0.206862307490389
3521,CDCA3,9,1,-5.90740316721632,-1.21299990326019
3522,ENO2,20,1,-1.77657049509718,-2.52094783693405
3523,C1RL,19,1,-1.95805853220655,2.56609830945877
3524,C1RL-AS1,21,1,-0.816681560008067,3.05725202649979
3525,CD163L1,10,1,-1.96975439402296,2.01190123647598
3526,CD163,10,1,-1.35879724833204,1.83974323362259
3527,SLC2A3,20,1,-2.18385809275343,-2.28724803835007
3528,C3AR1,23,1,1.46708315995501,-1.68325885444732
3529,LINC00937,26,1,1.36307269719408,1.19160280317215
3530,RIMKLB,2,1,-0.71965878817274,2.19223103612808
3531,A2M,18,1,0.158214155705434,-0.967448570428808
3532,CLEC2D,5,1,-0.617140706507701,-2.46386434942337
3533,CLECL1,14,1,3.47094834235476,-3.64517226129623
3534,CD69,20,1,-2.24355667444899,-1.92630340963455
3535,CLEC2B,3,1,-2.11672848078443,-0.724890731869657
3536,CLEC12A,27,1,-0.573695596186656,-1.85942288547607
3537,CLEC9A,15,1,-0.662466939417858,-0.474397086201628
3538,CLEC1A,7,1,2.33070487168596,-3.08887472063156
3539,CLEC7A,3,1,-1.7541834673567,-1.17370434909912
3540,OLR1,20,1,-1.96179025980665,-2.46166577249618
3541,AC022075.1,11,1,4.13063496735857,3.94075427144913
3542,STYK1,16,1,3.77137560036943,1.40227947324661
3543,YBX3,10,1,-1.55059498163893,2.29909668058304
3544,PRH1,16,1,4.39908129361437,2.08363566488175
3545,AC244131.2,31,1,0.566999975712758,4.47200331777481
3546,ETV6,19,1,-2.37617033335401,2.33650479406265
3547,MANSC1,13,1,0.818872157605153,0.0422497758284017
3548,DUSP16,8,1,1.059310261281,-2.79706182390304
3549,CREBL2,5,1,0.402912680180531,-2.57543637662979
3550,APOLD1,9,1,-5.94022959086134,-1.22578506976219
3551,GPRC5D-AS1,13,1,0.835018936665517,-0.954151630996187
3552,ATF7IP,8,1,0.750849191220265,-3.38094034105392
3553,PLBD1,7,1,2.15906981018351,-3.04297771364303
3554,AC008114.1,3,1,-2.10216492029859,-0.629153423605879
3555,ARHGDIB,7,1,2.29388323810862,-2.56241097360702
3556,PTPRO,6,1,-1.29863208147718,2.85176358312515
3557,EPS8,10,1,-1.26453870150282,1.29070315450577
3558,STRAP,11,1,4.98699933675097,3.865031100215
3559,DERA,5,1,-0.205543216197032,-2.63545432001205
3560,PLEKHA5,7,1,2.31755435851381,-2.72213103681656
3561,AEBP2,12,1,2.6649073400812,-3.1738876333818
3562,SLCO1A2,11,1,4.324624840291,4.03815636724381
3563,GYS2,12,1,3.27518719819353,-3.39817514330002
3564,LDHB,4,1,-1.92575853678419,-5.51206412225815
3565,AC053513.1,5,1,-0.857748206583995,-3.58606758028122
3566,C2CD5,5,1,-0.210687812296886,-2.65045645147415
3567,ETNK1,3,1,-2.15563696238234,-0.192489885388334
3568,AC084816.1,14,1,2.75323284056948,-4.08491458803268
3569,SOX5,16,1,4.17954689648912,2.00851378530411
3570,BCAT1,10,1,-1.73202579828932,2.2083350190535
3571,LRMP,8,1,0.846276704342824,-2.8418244352922
3572,RASSF8,18,1,-0.0531641802473253,-1.04436472862812
3573,BHLHE41,20,1,-1.65583484980299,-2.28511109262558
3574,SSPN,18,1,0.210171286137562,-0.991062909959276
3575,AC024145.1,18,1,-0.207328017680187,-0.944668286143263
3576,ITPR2,18,1,-0.0648919901533311,-1.50711413532348
3577,AC023051.1,18,1,0.0542195477800185,-0.805816785095651
3578,FGFR1OP2,5,1,0.279091421635609,-2.01860406309219
